@relation anonymized

@attribute age numeric
@attribute fnlwgt numeric
@attribute education.num numeric
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute class {>50K,<=50K}

@data

32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
33,190685,7,1097,0,37,<=50K
35,190797,10,1781,0,37,<=50K
39,201742,7,1052,223,37,<=50K
39,179720,8,1143,88,36,<=50K
36,180842,7,1220,133,35,>50K
46,189939,6,954,635,36,<=50K
37,183030,7,1723,206,37,<=50K
34,184704,8,1681,78,38,<=50K
36,195157,6,941,470,36,<=50K
32,195338,6,814,278,44,<=50K
40,220690,6,955,307,36,<=50K
30,206360,7,837,290,42,<=50K
33,223837,8,2721,318,38,<=50K
38,273169,9,2322,272,35,<=50K
51,203811,6,999,357,37,<=50K
37,246081,13,2228,107,37,<=50K
35,312636,8,2727,261,39,<=50K
46,231074,7,1394,285,37,<=50K
35,238676,5,639,205,40,<=50K
58,266748,20,1261,283,39,<=50K
30,215186,15,1139,227,37,<=50K
35,244357,17,985,319,34,<=50K
46,274100,5,1580,407,38,>50K
100,340930,7,978,687,34,<=50K
28,238338,10,7325,336,35,<=50K
44,339381,12,1700,143,37,<=50K
34,224057,6,2285,155,39,<=50K
37,396977,6,1521,149,34,<=50K
94,307758,9,4000,796,36,>50K
34,225592,12,2638,230,37,>50K
41,291257,10,2635,1031,37,<=50K
45,295976,5,4605,316,38,>50K
28,240924,9,969,951,40,<=50K
32,227901,5,1880,673,34,<=50K
25,215400,8,711,152,37,<=50K
46,315541,5,3989,723,41,<=50K
65,335377,4,1324,385,37,<=50K
47,324443,11,3279,441,37,<=50K
36,479233,20,741,183,37,>50K
60,216756,6,1535,1189,36,<=50K
41,707057,5,1177,353,41,<=50K
82,202691,9,1923,630,40,<=50K
40,284587,13,1035,643,56,>50K
34,420040,5,4209,133,46,>50K
55,204919,6,968,869,36,<=50K
30,279712,12,720,344,59,<=50K
30,446279,8,1087,164,40,>50K
88,211876,20,1668,75,33,<=50K
23,347090,9,864,134,34,<=50K
26,276770,19,2552,386,38,<=50K
100,450138,8,2003,652,34,<=50K
23,407410,12,2087,102,31,<=50K
79,301115,20,666,500,37,<=50K
26,861228,4,9888,268,32,<=50K
44,323008,20,1960,606,37,<=50K
56,231984,10,1160,125,32,<=50K
29,216320,7,760,206,59,<=50K
100,237735,9,1022,79,75,>50K
60,202217,19,1028,294,34,<=50K
41,224908,8,870,57,39,>50K
66,271405,10,2204,507,49,<=50K
66,271405,10,2204,507,49,<=50K
66,271405,10,2204,507,49,>50K
66,271405,10,2204,507,49,<=50K
