@relation anonymized

@attribute age numeric
@attribute fnlwgt numeric
@attribute education.num numeric
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute class {>50K,<=50K}

@data

32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,>50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
32,179015,7,1119,0,36,<=50K
37,195338,7,1759,0,36,<=50K
49,225974,20,4293,0,52,<=50K
35,295291,9,2201,2502,39,<=50K
34,199370,7,2637,1242,85,<=50K
40,193964,11,1026,1360,45,>50K
44,432555,20,2363,1796,35,<=50K
95,466452,20,5841,2240,56,<=50K
53,228345,11,5067,684,77,<=50K
44,618516,14,2294,1316,36,<=50K
100,194230,8,2406,1984,39,<=50K
100,346331,17,5390,984,92,<=50K
48,453633,11,3949,5000,73,<=50K
38,509253,20,3178,251,51,<=50K
56,217522,7,27540,487,51,<=50K
100,258564,20,7898,1595,45,<=50K
100,282922,20,3473,1957,51,<=50K
50,369219,8,2556,220,34,<=50K
46,1500000,20,7575,3340,87,<=50K
100,443484,20,958,433,50,<=50K
100,261386,20,22369,1904,81,<=50K
100,1232958,18,5312,904,74,<=50K
100,399323,20,3392,1170,100,<=50K
100,550990,19,3444,176,46,>50K
40,320855,8,23041,1656,34,<=50K
100,323932,20,22896,1421,34,<=50K
100,1500000,20,12518,3649,43,<=50K
100,646437,17,14871,1699,70,<=50K
100,850560,20,4749,1961,62,<=50K
100,1500000,20,3784,938,85,>50K
100,297142,20,2051,1376,44,>50K
98,384729,20,22140,850,100,<=50K
100,205375,20,37591,3327,91,>50K
100,650654,20,1576,2375,55,<=50K
100,558415,17,16214,1118,38,<=50K
100,310232,20,3541,766,41,<=50K
100,1417496,20,13110,3431,62,<=50K
96,1181671,20,5721,3389,100,<=50K
60,289101,20,10910,4289,85,<=50K
100,399692,5,11229,318,43,>50K
100,1225813,20,6894,659,94,<=50K
100,574079,20,15076,1649,100,<=50K
77,438290,15,5074,1772,50,<=50K
43,622535,20,606,785,52,>50K
100,322621,20,22294,841,40,>50K
35,1479691,20,14681,447,53,<=50K
27,727551,14,8866,491,36,<=50K
100,332078,20,12091,2933,90,>50K
100,338028,20,7216,1323,100,<=50K
100,960409,20,9696,482,95,<=50K
100,371738,20,7787,681,48,<=50K
52,1027909,20,4864,5000,97,<=50K
100,428268,15,20431,3909,32,<=50K
100,222411,20,15843,506,55,<=50K
100,1500000,20,3639,3333,100,<=50K
100,641563,20,2223,384,50,<=50K
100,323403,20,10144,166,100,<=50K
61,1120742,10,17868,3356,100,<=50K
100,630067,20,1680,3722,43,>50K
54,661654,14,16040,1270,72,<=50K
100,1398396,15,29254,372,39,>50K
