age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,class
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,>50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,<=50K
17,195647,2,454,0,11,>50K
