@relation anonymized

@attribute age numeric
@attribute fnlwgt numeric
@attribute education.num numeric
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute class {<=50K,>50K}

@data

20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,>50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
20,196597,4,649,51,29,<=50K
